;Kingdom;Phylum;Class;Order;Family;Genus
ASV_7849;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_7850;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7851;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus
ASV_7852;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
ASV_7853;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;NA;NA
ASV_7854;Bacteria;NA;NA;NA;NA;NA
ASV_7855;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus
ASV_7856;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;NA;NA
ASV_7857;Bacteria;NA;NA;NA;NA;NA
ASV_7858;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_7859;NA;NA;NA;NA;NA;NA
ASV_7860;Bacteria;NA;NA;NA;NA;NA
ASV_7861;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7862;Bacteria;NA;NA;NA;NA;NA
ASV_7863;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_7864;Bacteria;NA;NA;NA;NA;NA
ASV_7865;Bacteria;NA;NA;NA;NA;NA
ASV_7866;NA;NA;NA;NA;NA;NA
ASV_7867;Bacteria;NA;NA;NA;NA;NA
ASV_7868;Bacteria;NA;NA;NA;NA;NA
ASV_7869;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7870;Bacteria;NA;NA;NA;NA;NA
ASV_7871;Bacteria;NA;NA;NA;NA;NA
ASV_7872;Bacteria;NA;NA;NA;NA;NA
ASV_7873;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_7874;Bacteria;NA;NA;NA;NA;NA
ASV_7875;Bacteria;NA;NA;NA;NA;NA
ASV_7876;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7877;NA;NA;NA;NA;NA;NA
ASV_7878;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;cvE6;NA
ASV_7879;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_7880;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7881;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_7882;Bacteria;NA;NA;NA;NA;NA
ASV_7883;NA;NA;NA;NA;NA;NA
ASV_7884;Bacteria;NA;NA;NA;NA;NA
ASV_7885;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7886;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_7887;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_7888;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_7889;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
ASV_7890;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_7891;Bacteria;Planctomycetota;OM190;NA;NA;NA
ASV_7892;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
ASV_7893;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;NA;NA
ASV_7894;Bacteria;Planctomycetota;OM190;NA;NA;NA
ASV_7895;Bacteria;Marinimicrobia (SAR406 clade);NA;NA;NA;NA
ASV_7896;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae;Marinomonas
ASV_7897;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_7898;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_7899;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Lacticigenium
ASV_7900;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA
ASV_7901;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum
ASV_7902;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lentibacter
ASV_7903;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7904;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7905;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7906;Bacteria;Bacteroidota;Bacteroidia;ML602M-17;NA;NA
ASV_7907;NA;NA;NA;NA;NA;NA
ASV_7908;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;C39
ASV_7909;Bacteria;Marinimicrobia (SAR406 clade);NA;NA;NA;NA
ASV_7910;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella
ASV_7911;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter
ASV_7912;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7913;Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA
ASV_7914;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides
ASV_7915;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;NA
ASV_7916;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NA
ASV_7917;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ASV_7918;NA;NA;NA;NA;NA;NA
ASV_7919;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_7920;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93;NA
ASV_7921;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7922;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia
ASV_7923;Bacteria;NA;NA;NA;NA;NA
ASV_7924;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
ASV_7925;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_7926;Bacteria;NA;NA;NA;NA;NA
ASV_7927;Eukaryota;NA;NA;NA;NA;NA
ASV_7928;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade
ASV_7929;Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA
ASV_7930;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;NA
ASV_7931;Bacteria;Proteobacteria;Gammaproteobacteria;Piscirickettsiales;Piscirickettsiaceae;Candidatus Endoecteinascidia
ASV_7932;Bacteria;Planctomycetota;OM190;NA;NA;NA
ASV_7933;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
ASV_7934;Bacteria;NA;NA;NA;NA;NA
ASV_7935;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_7936;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_7937;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Algimonas
ASV_7938;Bacteria;NA;NA;NA;NA;NA
ASV_7939;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;NA;NA;NA
ASV_7940;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group
ASV_7941;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
ASV_7942;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina
ASV_7943;Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Alkalinema CENA528
ASV_7944;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_7945;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium
ASV_7946;Bacteria;Dependentiae;Babeliae;Babeliales;NA;NA
ASV_7947;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Synechococcales Incertae Sedis;Schizothrix LEGE 07164
ASV_7948;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_7949;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA
ASV_7950;Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
ASV_7951;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;NA
ASV_7952;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_7953;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia
ASV_7954;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas
ASV_7955;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Moritellaceae;Moritella
ASV_7956;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;NA;NA
ASV_7957;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
ASV_7958;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;NA
ASV_7959;Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41;NA
ASV_7960;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;NA
ASV_7961;NA;NA;NA;NA;NA;NA
ASV_7962;Bacteria;NA;NA;NA;NA;NA
ASV_7963;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
ASV_7964;Bacteria;NA;NA;NA;NA;NA
ASV_7965;NA;NA;NA;NA;NA;NA
ASV_7966;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_7967;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_7968;Bacteria;NA;NA;NA;NA;NA
ASV_7969;Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;NA
