;Sample_or_Control;ID_Samples;is.neg;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Abbrev_host;Sampling_date;Subdive
e1100027506;True sample;CAO_419;FALSE;95;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;Sz.1;23.04.2022;Subdive 2
e1100027507;True sample;CAO_427;FALSE;258;3.Lower rariphotic;Demospongiae;Biemnida;Biemnidae;Biemna;Biemna microacanthosigma;B.m.1;23.04.2022;Subdive 2
e1100027508;True sample;CAO_435;FALSE;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;Ah.2;23.04.2022;Subdive 2
e1100027509;True sample;CAO_444;FALSE;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.3;23.04.2022;Subdive 2
e1100027510;True sample;CAO_454;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;Cp.3;23.04.2022;Subdive 2
e1100027511;True sample;CAO_584;FALSE;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.5;30.03.2023;Subdive 3
e1100027512;True sample;CAO_593;FALSE;194;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Lefroyella;Lefroyella sp.;Ls.4;30.03.2023;Subdive 3
e1100027517;True sample;CAO_410;FALSE;302;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Myliusia;Myliusia sp. nov.;Ms.1;22.04.2022;Subdive 1
e1100027518;True sample;CAO_420;FALSE;94;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;Ne.1;23.04.2022;Subdive 2
e1100027519;True sample;CAO_428;FALSE;105;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Neopetrosia;Neopetrosia eurystomata;Ne.4;23.04.2022;Subdive 2
e1100027520;True sample;CAO_436;FALSE;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;Ah.3;23.04.2022;Subdive 2
e1100027521;True sample;CAO_445;FALSE;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.4;23.04.2022;Subdive 2
e1100027522;True sample;CAO_455;FALSE;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;Cp.4;23.04.2022;Subdive 2
e1100027523;True sample;CAO_585;FALSE;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.6;30.03.2023;Subdive 3
e1100027524;True sample;CAO_594;FALSE;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Hexactinella;Hexactinella sp.;Hx.3;30.03.2023;Subdive 3
e1100027529;True sample;CAO_411;FALSE;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella sp. nov.;Ht.1;22.04.2022;Subdive 1
e1100027530;True sample;CAO_421;FALSE;89;1.Mesophotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 1;Ps1.1;23.04.2022;Subdive 2
e1100027531;True sample;CAO_429;FALSE;95;1.Mesophotic;Demospongiae;Scopalinida;Scopalinidae;Svenzea;Svenzea zeai;Sz.3;23.04.2022;Subdive 2
e1100027532;True sample;CAO_437;FALSE;105;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia aff. curacaocensis;Gc.1;23.04.2022;Subdive 2
e1100027533;True sample;CAO_447;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.1;23.04.2022;Subdive 2
e1100027534;True sample;SUB_108;FALSE;267;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;Cp.8;2018;Subdive 0
e1100027535;True sample;CAO_586;FALSE;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.7;30.03.2023;Subdive 3
e1100027541;True sample;CAO_412;FALSE;288;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella sp. nov.;Ht.2;22.04.2022;Subdive 1
e1100027542;True sample;CAO_422;FALSE;129;2.Upper rariphotic;Demospongiae;Haplosclerida;Petosiidae;Petrosia;Petrosia sp. 2;Ps2.1;23.04.2022;Subdive 2
e1100027543;True sample;CAO_430;FALSE;100;1.Mesophotic;Demospongiae;Tetractinellida;Tetillidae;Cinachyrella;Cinachyrella kuekenthali;Ck.1;23.04.2022;Subdive 2
e1100027544;True sample;CAO_438;FALSE;121;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 1;Gs1.1;23.04.2022;Subdive 2
e1100027545;True sample;CAO_448;FALSE;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii ;Vl.2;23.04.2022;Subdive 2
e1100027546;True sample;SUB_111;FALSE;305;3.Lower rariphotic;Hexactinellida;Lyssacinosida;Euplectellidae;Heterotella;Heterotella sp. nov.;Ht.3;2018;Subdive 0
e1100027547;True sample;CAO_587;FALSE;132;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;Dp.8;30.03.2023;Subdive 3
e1100027548;Control;NC02;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
e1100027552;Control;NC01;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
