;Final_name
ASV_98;ASV_98_Proteobacteria_Nitrosococcaceae_AqS1
ASV_99;ASV_99_Chloroflexi_NA_NA
ASV_100;ASV_100_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_101;ASV_101_Proteobacteria_EC94_NA
ASV_102;ASV_102_Chloroflexi_NA_NA
ASV_103;ASV_103_Chloroflexi_NA_NA
ASV_104;ASV_104_Crenarchaeota_Nitrosopumilaceae_NA
ASV_105;ASV_105_Chloroflexi_Caldilineaceae_NA
ASV_106;ASV_106_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_107;ASV_107_Dadabacteria_NA_NA
ASV_108;ASV_108_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_109;ASV_109_Chloroflexi_NA_NA
ASV_110;ASV_110_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_111;ASV_111_Chloroflexi_NA_NA
ASV_112;ASV_112_Proteobacteria_Vibrionaceae_Vibrio
ASV_113;ASV_113_Chloroflexi_NA_NA
ASV_114;ASV_114_Chloroflexi_NA_NA
ASV_115;ASV_115_Acidobacteriota_NA_NA
ASV_116;ASV_116_SAR324 clade(Marine group B)_NA_NA
ASV_117;ASV_117_Proteobacteria_NA_NA
ASV_118;ASV_118_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_119;ASV_119_Chloroflexi_A4b_NA
ASV_120;ASV_120_Chloroflexi_NA_NA
ASV_121;ASV_121_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_122;ASV_122_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_123;ASV_123_Acidobacteriota_NA_NA
ASV_124;ASV_124_PAUC34f_NA_NA
ASV_125;ASV_125_Myxococcota_NA_NA
ASV_126;ASV_126_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_127;ASV_127_Entotheonellaeota_Entotheonellaceae_NA
ASV_128;ASV_128_Crenarchaeota_Nitrosopumilaceae_NA
ASV_129;ASV_129_Acidobacteriota_NA_NA
ASV_130;ASV_130_Aenigmarchaeota_NA_NA
ASV_131;ASV_131_Nitrospirota_Nitrospiraceae_Nitrospira
ASV_132;ASV_132_Myxococcota_NA_NA
ASV_133;ASV_133_PAUC34f_NA_NA
ASV_134;ASV_134_Crenarchaeota_Nitrosopumilaceae_Cenarchaeum
ASV_135;ASV_135_Crenarchaeota_Nitrosopumilaceae_NA
ASV_136;ASV_136_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_137;ASV_137_Bacteroidota_Rhodothermaceae_NA
ASV_138;ASV_138_Proteobacteria_Vibrionaceae_Vibrio
ASV_139;ASV_139_Myxococcota_NA_NA
ASV_140;ASV_140_Chloroflexi_NA_NA
ASV_141;ASV_141_Acidobacteriota_NA_NA
ASV_142;ASV_142_Myxococcota_NA_NA
ASV_143;ASV_143_Chloroflexi_NA_NA
ASV_144;ASV_144_Proteobacteria_Nitrosococcaceae_AqS1
ASV_145;ASV_145_Acidobacteriota_NA_NA
ASV_146;ASV_146_Chloroflexi_NA_NA
ASV_147;ASV_147_PAUC34f_NA_NA
ASV_148;ASV_148_Proteobacteria_NA_NA
