#NAME;Peak_366_151.03313_60.77_n.a.;Peak_1606_241.99908_60.98_n.a.;Peak_1601_218.98167_61.22_n.a.;Peak_1604_182.95986_61.23_n.a.;Peak_1613_169.98359_67.8_n.a.;Peak_1614_162.01821_67.68_n.a.;Peak_1625_Hydroxyphenylglycine ?;Peak_380_143.07916_69.46_n.a.;Peak_1624_Methylated aminoacid derivative;Peak_1632_179.00245_69.58_n.a.;Peak_1640_140.03628_69.5_n.a.;Peak_1645_Methyl-isoleucine ?;Peak_1668_184.0651_69.63_n.a.;Peak_1619_Hydroxyphenylglycine ?;Peak_1626_Alanylproline;Peak_1634_162.11089_69.35_n.a.;Peak_1638_Cyclo-(Pro-Gly) ?;Peak_1659_144.09935_70.83_n.a.;Peak_1660_190.10454_70.07_n.a.;Peak_1648_176.12525_71.18_n.a.;Peak_1649_200.11988_71.6_n.a.;Peak_1653_212.10215_71.84_n.a.;Peak_1679_Cysteinyl-Glycine ?;Peak_1680_170.11511_71.61_n.a.;Peak_1698_174.11287_71.3_n.a.;Peak_1664_185.08854_71.26_n.a.;Peak_1666_204.12147_71.58_n.a.;Peak_1654_199.10465_72.11_n.a.;Peak_1713_201.08432_75.17_n.a.;Peak_402_Glycyl-Lysine (Gly-Lys);Peak_1717_Rhodosamine;Peak_1716_199.10457_89.13_n.a.;Peak_1731_268.1032_89.91_n.a.;Peak_1735_154.05885_89.32_n.a.;Peak_1752_C12H21N2O3;Peak_1757_201.08427_103.37_n.a;Peak_413_254.16062_105.79_n.a.;Peak_1769_160.07509_115.28_n.a.;Peak_418_177.09981_123.6_n.a.;Peak_1779_166.08435_140.44_n.a.;Peak_1839_Xanthurenic acid;Peak_454_C5H6N2O2 Thymine ?;Peak_1849_Imidazole derivative;Peak_1850_247.14195_304.15_n.a.;Peak_503_234.99398_365.57_n.a.;Peak_513_173.10377_382.22_n.a.;Peak_553_205.07665_434.84_n.a.;Peak_1884_Aphrocallistin derivative;Peak_655_328.13833_505.28_n.a.;Peak_677_Aphrocallistin derivative;Peak_1888_Aphrocallistin;Peak_1890_Aphrocallistin;Peak_701_179.02513_565.88_n.a.;Peak_710_209.11453_575.28_n.a.;Peak_788_209.11475_663.55_n.a.;Peak_847_230.24538_748.61_n.a.;Peak_885_258.2772_838.75_n.a.;Peak_1991_Lyso-PC(C20:5);Peak_2022_Lyso-PC(C20:4)**;Peak_2025_280.26107_901.53_n.a.;Peak_912_286.3087_924.94_n.a.;Peak_916_226.2135_931.49_n.a.;Peak_2054_Lyso-PC(C16:0);Peak_2071_522.35108_967.83_n.a.;Peak_2083_482.35506_987.63_n.a.;Peak_954_278.24578_1015.91_n.a.;Peak_2100_228.22982_1015.27_n.a.;Peak_2106_Lyso-PC(O-C17:0) NO6P;Peak_2112_Palmitoleamide;Peak_2120_254.24524_1060_n.a.;Peak_2127_Lyso-PC(O-C18:0) NO6P;Peak_2126_Lyso-PC(C18:0);Peak_2131_242.2454_1074.03_n.a.;Peak_1019_165.16176_1078.78_n.a.;Peak_1021_179.17593_1078.79_n.a.;Peak_2132_280.26335_1078.77_n.a.;Peak_2147_280.26224_1092.33_n.a.;Peak_1038_268.26225_1098.97_n.a.;Peak_1039_269.26482_1099.24_n.a.;Peak_2156_280.26179_1102.9_n.a.;Peak_2169_256.26104_1118.22_n.a.;Peak_2180_256.26355_1129.93_n.a.;Peak_1059_257.26346_1131.3_n.a.;Peak_1062_681.4495_1135.36_n.a.;Peak_1063_268.26181_1137.12_n.a.;Peak_2193_593.39834_1142.55_n.a.;Peak_2202_549.37115_1145.7_n.a.;Peak_2203_505.34513_1148.11_n.a.;Peak_1083_248.24319_1149.83_n.a.;Peak_2213_563.55152_1150.38_n.a.;Peak_1096_212.1974_1150.74_n.a.;Peak_1101_283.2835_1150.83_n.a.;Peak_1104_285.28632_1151_n.a.;Peak_2225_Oleamide;Peak_2232_270.27801_1167.37_n.a.;Peak_1122_308.2922_1174.1_n.a.;Peak_2244_270.27745_1183.18_n.a.;Peak_1142_694.44723_1198.07_n.a.;Peak_1147_296.29296_1199.34_n.a.;Peak_1149_297.29503_1199.71_n.a.;Peak_1214_284.29457_1233.12_n.a.;Peak_1221_837.58678_1236.88_n.a.;Peak_1223_793.56_1240.39_n.a.;Peak_1233_749.53318_1243.69_n.a.;Peak_2323_310.31029_1243.8_n.a.;Peak_1245_705.50761_1246.95_n.a.;Peak_1248_661.48128_1250.2_n.a.;Peak_1255_617.45706_1253.47_n.a.;Peak_1257_573.42982_1256.36_n.a.;Peak_2336_310.30884_1256.43_n.a.;Peak_2343_529.40283_1259.39_n.a.;Peak_2348_485.37577_1262.03_n.a.;Peak_1397_598.8996_1305.8_n.a.;Peak_1477_821.591_1327.95_n.a.;Peak_1484_777.56465_1330.88_n.a.;Peak_1485_778.56682_1330.9_n.a.;Peak_1489_733.54019_1333.77_n.a.;Peak_2505_689.51418_1336.65_n.a.;Peak_1494_640.53264_1339.57_n.a.;Peak_2519_645.48851_1339.54_n.a.;Peak_2518_646.49167_1340.12_n.a.;Peak_2524_601.46238_1342.59_n.a.;Peak_1498_557.43608_1345.13_n.a.;Peak_2539_513.40891_1347.58_n.a.;Peak_1499_469.38106_1349.61_n.a.
CAO_428;-0.582281956;-0.738406211;-0.621393691;-0.608909039;0.46936319;-1.51145342;0.68234491;-1.96547798;0.76492458;-0.55954406;-1.02028195;-2.0154318;0.31452192;0.93912499;2.125700898;-0.165587529;1.78923081;-0.82655168;0.442613189;0.214141705;0.86225223;0.385812715;0.28069229;-0.174858266;0.52417642;-1.82129661;0.77544514;1.103625099;-0.94336094;-0.9774257;1.32321075;0.67329941;-0.43074551;-0.66368813;1.383128459;-0.6973144;1.2157038;-0.6377744;3.173370905;1.2118721;-0.75357895;3.5223234;-0.70480965;0.24224108;-0.6930427;-0.506622016;-0.59642834;-0.775885863;-0.59234806;-0.86193851;-1.0050603;-1.08650331;-0.43700894;0.11015271;-0.283358271;0.29496459;0.487322032;-0.52288434;-1.75086566;-0.23948466;0.723734903;-0.53988269;-1.93194786;-0.23029363;-2.51340374;-0.984903578;-0.368921319;0.5871639;-0.332225074;-0.687054923;-0.806249;-0.467949669;-0.45419591;-0.25951888;-0.278439053;-0.54410698;-0.757689499;-0.33816942;-0.41782601;-0.551258056;-0.31838222;-0.711898955;-0.52271534;-0.54480677;-0.56486077;0.142546641;0.11544617;0.23404785;-0.459592904;-0.62671695;-0.544423474;-0.702400935;-0.29551602;-0.843029339;-0.44076547;0.00225008;-0.834121265;0.31638574;-0.446768819;-0.225684453;-0.69918336;0.184037899;0.07749891;0.237039808;-0.736633594;0.05485208;0.231456079;0.11753759;0.07579418;-0.6024362;0.13589322;0.176796763;-4.11612164;0.323846947;0.108721054;0.232272809;0.139890365;-0.003838217;0.375856128;-0.046990431;0.1737203;-0.03569031;0.09536051;-0.102800947;-0.10318425
CAO_429;0.24873905;0.029201326;0.222755048;-0.565334978;1.01029065;1.35588883;-0.55581627;0.35397514;-1.10182072;0.73245625;1.51243632;0.53928667;0.52416368;-1.03310932;1.531083455;0.479728062;1.06256981;0.41274609;0.993674336;0.731073757;0.79262093;-1.215275186;2.24971285;0.593066935;-1.704532;1.40406814;0.98754742;1.539751506;1.96966658;-0.6974832;0.74015886;1.14225379;1.22432414;-0.32444367;1.800858963;-0.3875709;0.8111851;-0.3332521;1.084958199;-0.0511131;-0.47108344;1.0350291;0.68233138;0.07800986;-0.3900757;-0.672095947;-0.81270168;-0.477789051;-0.27485692;-0.57973017;-0.7398857;-0.81905585;-0.96833944;1.20029758;1.165348645;-0.11873353;-0.860807909;-1.39447833;-1.4379199;0.22509521;-1.385796588;0.43410322;-1.57134827;-1.82957681;-2.14787907;0.278716505;0.325235226;-0.3224594;0.352644986;-0.114299254;-0.4922748;-1.297900579;0.1392347;0.3422937;-0.106427246;0.12812079;0.002952187;0.15251328;0.21439251;-0.399845696;0.44250305;-0.050814476;0.11897872;0.88821948;0.0668718;0.874939267;0.94473332;0.86062715;0.030173108;0.004949049;0.361525313;0.057815796;0.113368627;-0.363887674;0.21047939;0.04440996;0.206282859;0.79630512;0.329068032;0.656026601;-0.172514942;0.621501686;0.60685858;0.469198302;-0.37313878;0.80707213;0.741576262;0.94915772;0.74256689;-0.39676247;1.01659842;0.807607352;0.357760165;0.971509569;0.649774135;0.77499508;0.901529495;0.753712988;0.575209611;0.764237287;0.65096346;0.757435068;0.62582275;0.598679076;0.47471479
CAO_430;0.271293105;0.230808398;0.165235784;0.393966451;0.48560619;1.1118329;1.38577855;0.59891076;0.62331165;-0.00229723;0.90602788;1.99427319;1.01435467;1.37825019;0.94424869;0.19254524;0.37253919;0.27141875;0.453370339;1.366058318;0.86892188;0.865531794;-0.8690319;0.964171326;0.51326909;1.04114071;1.14007185;-0.919026903;1.33452394;-0.7949372;1.11726087;-1.30729938;1.22346202;-0.44253617;0.564608158;-0.4953917;-1.4375296;-0.439263;-0.378533116;0.95354265;-0.56942082;0.722952;-0.49300732;-0.20554648;-0.4955393;0.113539443;0.19191171;-0.581556024;-0.38538025;-0.67797433;-0.8321925;-0.91215738;0.09548933;0.648447479;0.579900828;-0.58842862;-0.439612207;-0.88576186;-0.93431743;-0.8196705;-1.501712256;0.37372671;-0.5480392;-0.16485209;-0.36481878;0.379741259;0.338752554;0.4743115;0.447397962;0.272889793;-0.6015682;-1.416110061;0.34357242;0.34116869;0.140737034;0.29795642;0.172314776;0.25319067;0.48863109;-0.351905718;0.33195401;0.053199816;0.09002791;0.40311783;0.35517591;0.137789558;0.341269;0.29318763;0.162886665;0.311959736;0.409194563;0.166177088;0.676257631;-0.3939752;0.43627233;0.35333201;0.308450887;0.59383163;0.343348931;0.201549557;-0.040123166;0.049117395;0.14460413;0.136367909;-0.171608215;0.2524906;0.388999071;0.37878165;-0.24920152;-0.13122512;0.13428689;-0.13399246;0.583735316;0.414536696;0.222722184;0.376443983;0.295031568;0.252267934;0.469474093;0.202985918;0.1595276;0.171280361;0.13834964;0.243903696;0.12017287
CAO_431;-0.725331;-0.478432383;-0.150864626;-0.300624298;-2.01579824;-1.48258536;1.15042136;-1.22013234;1.2748556;0.04655739;-1.63253296;1.25815451;-1.17255758;1.19453784;0.237878255;-0.17766594;-1.34795807;0.29582366;-1.988936757;-0.534952585;0.30071941;0.709121535;-1.02688369;0.429562607;-2.13191793;0.60817698;0.18696507;0.430548331;-0.91479059;1.7799854;-1.49401883;0.76897368;0.64355203;-0.63297892;1.246098569;-0.6692745;2.3613762;-0.610211;-0.552610957;-0.91301479;-0.72800652;-1.1010967;3.83478156;3.6514462;-0.6656171;-0.115058066;-0.14379658;-0.748900522;-0.56360963;-0.83639541;-0.9810552;-1.06229427;-0.72933833;-0.762142059;-0.154344766;0.38139775;0.232085;-0.44228638;-0.85364592;-0.70057913;0.516197152;-0.21394059;0.59254645;0.87916099;0.32498433;-0.155245662;-0.334824652;1.6566905;-0.353890339;-1.110217307;2.78175;-0.240414138;-0.29227129;-0.26866545;-0.160600487;-0.44305101;-0.686854883;-0.45496028;-0.3178649;-0.549261795;-0.67846075;-0.69385899;-0.47624493;-0.01720123;-0.33846553;-0.231350609;-0.24782323;-0.19032737;-0.443909394;-0.605361247;-0.396679481;-0.642080991;-0.579803709;-0.467291499;-0.39007236;-0.60384948;-0.671824647;0.05003545;-0.598593316;0.001016799;-0.589970021;-0.111188466;-0.10995321;-0.348592472;-0.660606576;-0.12461477;-0.186011697;-0.3853497;-0.06107014;-0.6098682;-0.13579019;-0.665894413;0.014745728;-0.111352802;-0.675164597;-0.004024124;-0.386082083;-0.223354313;-0.087018403;-0.282502617;-0.47450355;-0.288121122;-0.39076306;-0.310414301;-0.38600271
CAO_432;-0.406374769;-1.184555427;-0.855440987;-1.399134762;-1.91042334;-1.39900942;0.80329514;-0.09139638;0.82459989;-0.8185755;-1.54657773;0.93052979;-0.2787439;0.5264581;0.153309347;0.832892868;-0.96278791;-0.25359679;-0.211610938;0.811680906;-0.36482617;-1.428623728;-0.95318969;0.182600441;-2.0087576;-0.25787207;-3.59488353;-1.01250471;0.49852969;2.4102105;1.08033488;-0.41418784;0.20834389;-0.54407055;0.44110106;-0.5880962;0.1750309;-0.5304062;-0.471345357;0.75730209;-0.65397039;-1.0247367;-0.59024945;0.45807433;-0.5862159;-1.388517927;-0.7744359;-0.670774759;-0.48040455;-0.76243916;-0.9115578;-0.99220357;-0.73268747;0.016518745;0.265425321;0.29420562;0.567301469;-1.59913364;-1.64051862;0.28977065;0.421940303;0.45807816;-0.72089559;-2.04884014;0.61221557;-0.035646197;0.352733141;1.5059193;0.50246415;0.204799168;1.9073114;-1.517747133;0.36415321;-0.23302523;-0.229135836;0.63140316;0.50158143;0.83401634;0.83833242;0.473704231;0.63010376;0.146861667;0.17282612;0.29344864;0.52583321;-0.18327895;0.27199237;0.27561758;0.638420683;0.381412273;0.44272439;0.482299162;0.530273607;-0.069645036;0.38376013;0.50025657;0.55231292;0.57374975;0.538199896;0.398138939;0.045505745;0.156410038;0.14692776;0.343928468;-0.13549037;0.23751844;0.403727293;0.33314992;0.30645634;-0.16006124;0.29051085;0.134374336;0.514346964;0.163517487;0.212143088;0.145709578;0.193787912;0.178187739;-0.002965042;0.16589205;0.48474042;0.1529392;0.18308484;0.060988599;0.08119788
CAO_433;-0.141495246;0.029365107;-0.090229287;-0.691272407;0.0392481;-1.51543569;1.60309701;0.21694577;1.43657912;-0.30380756;-0.30801646;0.96393413;0.56345831;1.48736504;0.269140045;1.682975758;-1.19665647;0.11873974;0.946331203;2.092303684;0.4622085;1.608073117;0.94596758;0.223239891;-0.68798189;-0.19259401;0.15609459;-1.126519955;-0.94730213;-0.980921;2.17464091;-1.53609499;0.98733742;-0.66792433;-0.095731936;-0.7011824;0.7733981;-0.6415766;-0.58455047;0.4102565;-0.75710657;-1.1311082;-0.70886673;-1.38479415;-0.696826;-0.420052176;-0.30418923;-0.779608401;-0.59631237;-0.86546199;-1.0083717;-0.56634713;-0.02670667;0.196192438;0.299772063;-0.27371391;-0.392516368;-1.71454783;-1.75477364;0.88209066;-1.722938369;0.31636109;-1.93645086;-2.17248471;-2.51796834;0.221200222;0.33672;0.2758862;0.313456365;0.400901853;0.4560193;-1.641730796;0.27595924;0.13847174;0.176092626;0.01039356;-0.240774073;0.30149527;0.27020501;-0.275843847;0.43665205;0.002786499;0.06819935;0.2410698;0.35337201;0.07576588;0.0851171;-0.1332535;0.061630946;0.402280954;0.007300381;0.256612728;0.087918789;-0.312835295;0.29330469;0.07132709;0.183956194;0.06639323;0.22585304;0.164617462;0.177768562;-0.103019089;0.11708626;-0.007315987;-0.064855965;0.07758669;0.0900513;0.11338218;-0.06865775;-0.48062108;0.27760766;-0.226161202;0.241478877;0.160454266;0.05618489;0.009459713;0.030635837;-0.079815726;0.036650214;-0.020572754;-0.08781924;-0.106463848;-0.10189972;-0.095626848;-0.15019531
CAO_434;-0.185064165;-0.051036515;-0.249417473;-0.002401936;-0.05419702;1.17841208;1.64512882;0.05879291;1.59695072;-0.26669476;1.145169;1.05107448;1.1240143;1.65497071;0.265708195;1.475282362;0.02081863;0.12779292;0.209410964;1.586361577;0.36822131;1.913230947;-0.97339447;0.401116615;-0.3676309;-0.62388405;0.35977589;-1.0349458;0.94593492;-0.8988383;1.17262155;0.52391497;0.89664042;0.91198451;0.487987469;-0.6103529;0.9111991;-0.5522871;-0.493626819;-0.59785529;-0.67426908;-1.0456732;-0.61359522;-1.28914243;-0.6079855;0.086039302;-0.08027995;-0.692194596;-0.50321748;-0.78271659;-0.930612;-1.01142076;-0.11973853;0.061509398;-0.147923541;1.11307527;0.989969544;-1.62184865;-0.55736233;-0.79325982;1.264027327;-0.01831793;0.11943596;0.20455;-0.3611447;0.416906197;0.217918701;0.7516239;0.149260757;-0.222814468;0.6650847;-1.542148529;0.11937285;0.43085457;0.395803924;0.32408328;-0.308448176;0.23608227;0.21304565;0.128987667;0.19435985;0.234017884;0.06621822;0.47278964;0.28386906;0.125708219;0.14367576;0.30678197;0.310174369;0.223129344;0.402676505;0.205353325;0.087440513;-0.008467818;0.24469336;0.29512488;0.311683275;0.07637684;0.233572028;0.207128654;0.012028716;0.210008279;0.23780516;0.351170647;-0.039323432;0.32067997;0.192298882;0.19837469;0.14791812;0.04283162;0.22448017;-0.010639657;0.235449652;0.006786483;0.202225564;0.295860041;0.214036602;0.1521487;0.154901095;0.27573779;0.13101847;0.151379728;0.17685123;0.027285865;0.02075036
CAO_435;0.214856481;-0.167591127;0.071287604;-0.278084679;0.04735448;1.27558905;1.72725655;-0.04827404;1.69404578;0.06661562;1.45288297;1.16103988;1.37570358;1.77695145;0.238405145;2.140646725;0.28522933;0.23570265;0.526492772;1.667169222;0.24835287;1.965783705;-0.91690236;0.404361538;0.5537884;-1.64901807;0.402284;-0.972199679;1.0376044;-0.842597;1.36023856;0.95301829;1.1276052;-0.50029095;0.294272749;-0.5481236;1.1387535;-0.4911076;-0.431327187;0.58418519;-0.61751424;-0.9871342;-0.54832062;-1.22360336;-0.5471178;0.061112579;-0.01344852;-0.632305227;-0.43943228;-0.72602022;-0.8773369;-0.95768943;0.07972193;0.430482798;0.524538786;0.41271092;-2.368753837;-1.55833797;-1.60013282;-0.56310329;0.283231019;0.16120481;0.27585783;0.20255789;1.17960691;0.256571114;0.065969402;2.0040467;-0.165120426;-0.460778164;2.4156193;-1.473922935;-0.06241719;-0.32507221;-0.127367913;0.20908315;0.012123923;-0.01732677;0.07387385;-0.278754177;-0.3475016;-0.001288695;0.02828112;0.05838699;-0.12234377;0.048779783;0.13153457;-0.13963083;-0.07075041;-0.036992528;0.009993955;-0.008560857;0.042848283;-0.216919263;-0.04156272;0.10652304;0.036868853;0.30971065;-0.024085855;0.016913345;-0.219241688;-0.107026863;0.08724666;0.130511162;-0.223851902;0.03579962;-0.153541594;0.11981542;-0.06165986;-0.17760916;-0.25368997;-0.237587586;0.226157714;0.171115257;-0.066079639;0.002831875;0.091539114;-0.050675136;-0.126092654;-0.061590393;-0.26856265;-0.063590649;-0.14363322;-0.194872813;-0.02094994
CAO_436;-0.325569298;-0.228529477;-0.375355688;-0.188896069;-0.098123;1.14398713;1.47170339;-2.01718083;1.49047927;-0.53412107;1.04788212;0.94602391;0.88213144;1.46175615;0.159921528;0.876640807;-0.22157995;-1.6156891;0.224554647;1.597663296;-0.14081732;1.618025202;-1.0922826;0.055162681;-0.64879859;0.15070529;0.14501812;-1.166977287;0.95466006;-1.0171859;-1.5671193;0.46554954;0.76742868;0.56185451;0.722148298;-0.7413158;0.7931606;-0.6810255;-0.624721003;0.30848687;-0.7937079;-0.167756;1.54454165;1.26434273;-0.7360797;0.008905582;-0.0465721;-0.818232419;-0.63744382;-0.90201906;-1.0427301;-1.12449194;-0.05502719;-0.315268814;-0.946155618;-0.73027307;-2.627644715;-1.75550706;-0.32470964;0.33034842;-1.766077911;0.27051829;0.19247864;0.46773231;0.86010307;0.363422157;0.366692175;1.4480606;0.158282958;0.393367793;2.2555843;-1.685732013;0.23960222;-0.08722934;0.316885118;0.22176847;0.01459182;0.27197273;0.29480711;0.038493749;0.15027339;0.32795199;0.14553925;-0.16517148;0.12399132;0.003223492;0.0743325;-0.18678815;0.060660348;0.320323224;0.122474713;-0.002331466;-0.051852862;0.329249347;0.23124592;0.35287287;0.171264604;0.31222085;-0.005854296;0.476672593;0.169360832;0.137315364;0.11946807;0.084789544;-0.038745849;-0.01596825;-0.027241956;0.07494016;-0.01923592;-0.06398998;0.0812533;0.176725253;0.139337625;-0.343157581;0.089749251;-0.017978562;-0.001584936;0.04774158;0.039099513;-0.006537984;-0.07985624;-0.048208529;-0.10400807;-0.007728593;-0.09137059
CAO_437;0.292772297;0.351896465;0.09001969;0.495201969;0.6563755;-0.34229477;1.2680715;-0.10660689;0.62293449;0.60413686;-1.45998356;0.56002488;0.83804104;1.40997254;0.480620228;-0.225090043;-0.16212099;1.03493307;0.148478189;0.453024611;-0.08043209;1.550654403;0.37222334;-0.006513313;0.290486;0.28735354;0.41633558;1.02236867;-0.74874698;-0.1434544;0.99855528;0.60907474;1.39312697;-0.45449936;0.063427488;-0.5063144;-1.4489052;-0.4500021;-0.389468872;0.03812607;-0.57938277;0.3333757;1.7336799;1.34844955;-0.5062231;0.070555713;0.09320336;-0.592068059;-0.39657652;-0.68792656;-0.8415435;-0.92158881;0.40552376;0.459056849;0.492331372;0.03914334;0.299151948;0.45655395;-0.12553291;0.50599476;0.508473303;0.30857574;-1.70958927;0.7677894;1.17311803;-0.854394921;0.08269699;1.8304274;0.205314925;0.060361093;-0.6126401;0.357438591;0.1502961;0.31247938;0.48983742;0.25382752;-0.142553573;0.07616851;0.10167831;0.21269212;0.37129342;0.059626202;0.01668585;0.52862674;-0.16402071;0.33049981;0.41193406;0.41655607;0.358817722;0.176480347;0.430638241;0.271689241;0.370155478;0.159217678;0.17516519;0.10868444;0.160201683;0.50868128;0.514338524;-0.11587162;-0.280495211;0.433080612;0.32624099;0.451336487;0.20485711;0.44747665;0.108308552;0.07743585;0.34371586;0.05381185;0.28866886;0.15756423;0.337941314;0.415099692;0.336710445;0.279307337;0.295821863;0.306632509;0.261979902;0.354574145;0.27902461;0.26713904;0.29157762;0.322651727;0.25600125
CAO_438;-0.205041787;-0.082202264;-0.120952815;-0.334817523;0.14506123;-1.50799707;1.12657939;-0.20246192;0.64246136;0.40570633;-1.65866801;0.39003163;0.98127241;1.245063;0.112851367;-0.277280623;-0.31065117;0.98056821;0.160255529;0.242071953;-0.14814066;1.356169148;-1.0492906;0.112451532;0.14354676;0.66509636;0.23170678;-1.119236064;0.93972393;-0.9743919;0.93128292;0.17908258;1.20057013;-0.66001136;0.567778508;-0.6939572;-0.1836575;-0.6344743;-0.577318257;-0.4565466;-0.7505172;-1.1243125;0.26122674;-0.09500636;0.1454434;-0.354487955;-0.55114408;-0.772654931;-0.58890728;0.30422301;-0.0424314;0.66574758;-0.13826307;-0.595357804;-0.495729778;0.13662958;0.222644657;-0.93890675;-1.74747378;-0.68955938;0.495168501;0.59595152;-0.83982164;-2.16458525;0.92637782;0.198557418;0.40258093;1.6369786;0.480682615;-0.006700231;1.3482005;-1.63380931;0.23375906;0.25312149;0.45285051;0.49281132;0.353583222;0.30427704;0.22686188;-0.213458346;0.55617008;0.17454017;0.17652576;-0.59675492;0.51282981;0.21574448;0.03400346;-0.05207425;0.375331608;0.388483524;0.3410127;0.527769337;0.174813307;-0.002712848;0.42773887;0.30747041;0.311486754;0.25800838;0.595327259;0.486904332;0.049211708;-0.183501509;0.07195762;-0.06183925;0.092333836;0.10056487;0.182150114;0.06728122;0.02278692;-0.05714152;-0.17042318;0.072479207;-0.004113693;-0.260265385;-0.001213333;-0.006128407;0.008312766;0.018263218;-0.186749316;0.039305269;-0.10765657;-0.001549205;0.07095218;-0.221033651;0.03298646
CAO_441;0.038017486;-0.04129486;0.007363391;0.309968033;0.14170068;0.14047687;1.53429462;-1.82731061;1.57836528;0.3456261;0.17219316;1.58691279;0.70766327;1.45315873;0.210938785;0.505290596;-0.60287063;0.99675867;0.797835385;0.343865399;0.31955606;0.746713753;2.02225539;0.291241282;0.03348751;0.67075746;0.01952583;-1.004068324;-0.82355097;-0.8711618;-1.40314846;1.75304365;1.16637314;1.40930394;0.424338019;-0.5797292;0.6541378;-0.5221805;-0.462968999;0.14538736;-0.64633952;-1.016866;-0.58147308;0.5947441;-0.578032;-0.101843283;-0.04773944;-0.662722439;-0.47182844;-0.75481618;-0.9043947;-0.98497923;-0.1034504;0.489369053;0.71512567;-0.76720574;-0.508057906;-0.23573894;-1.63206519;0.08917545;-1.592378723;-0.02594535;-0.60713794;0.0495972;0.91118748;0.212806601;0.093867897;1.9858397;0.246349353;-0.062242199;2.8117229;-1.508573976;0.22770734;-0.1073056;0.1070736;0.10419257;-0.02291938;-0.05485305;-0.15765918;-0.466856415;-0.35940552;-0.104095224;-0.10597837;-0.02541151;0.22218749;0.440847534;0.42046306;0.40879763;0.270839463;0.008794138;0.22600429;0.057349905;0.524481172;-0.192302834;0.12658234;0.40990316;0.154505974;0.2948123;0.12392771;0.308103565;0.105906526;0.441504201;0.55606955;0.566810969;0.019011263;0.09860167;0.424168759;0.09177831;0.35417771;-0.02175282;0.43303528;0.371439662;0.621249356;0.05230791;0.402072953;0.176080136;0.273072893;0.26005589;0.349244351;0.29336862;0.29138463;0.354990274;0.32224752;0.217483609;0.07712811
CAO_442;0.010938194;0.212543616;0.415686544;0.599896352;0.25326656;1.04620907;-0.82768592;0.36273081;-0.50363582;1.10759874;0.78326019;0.43840676;-1.14399603;-1.27046783;-1.043114777;-0.340441201;-0.46485327;1.16879412;0.310521734;-0.590001601;-0.10801944;-0.496029199;-1.00694221;0.483289711;0.08938543;-0.85203181;-0.39814074;0.611748409;-0.89240817;-0.9322356;-0.2339937;0.14311977;0.491162;-0.60892065;-0.044479981;-0.6473078;-1.5957433;-0.5886167;-0.530621416;-1.38570145;-0.70797256;-1.0804346;0.93057461;0.73962052;-0.6441314;0.116499553;0.0668795;-0.727759799;-0.54109497;-0.81638375;-0.9622493;-1.04332818;-0.92056555;0.412779625;0.558756594;-0.82998928;-0.473127986;1.59702266;1.51800445;0.47822902;-1.665025692;0.10147087;1.02488756;1.31477874;1.15121228;0.455564947;0.171120602;0.3707093;0.06560233;0.461069758;0.4035519;0.577792655;0.23102764;0.10276935;-0.159066388;0.14244673;-0.06536692;0.18337993;0.46429973;-0.260325693;0.12615224;0.267201978;0.19625092;0.22829424;0.15421067;0.009737201;0.12044234;0.14777672;0.009086766;0.189171216;0.139269655;0.388016666;0.122076228;0.314134689;0.09266624;0.15502308;0.075008332;0.26883338;0.058806719;0.175573453;0.231478075;0.13203026;0.08212019;-0.267704776;-0.110197732;0.16329297;0.005055091;-0.16760273;0.33490391;0.19062841;0.29628278;0.235517672;0.143978186;0.07819763;0.118043358;0.031222536;0.184433958;0.113067505;0.163089848;0.114841346;0.22432956;0.120706047;0.06481691;0.026923206;0.05141281
CAO_443;0.117934751;0.2088483;0.265113348;0.254469424;0.69091376;1.04500947;-0.72266445;0.18073677;-1.27524653;1.458661;0.81823213;0.71426321;-1.0135405;-1.17878481;-0.189009406;0.320325036;-0.295225;1.41603263;0.937318531;-0.170516863;-0.48921615;0.007080963;0.04463812;0.946485822;0.31198216;0.12596321;-0.29989508;0.554680997;-0.79017532;1.3624917;0.04970749;0.64691346;0.22961554;-0.49903117;0.299007816;0.4745579;-1.49125;-0.4899768;-0.430175631;-0.70624061;-0.6164652;-0.9860522;1.35830705;1.24250612;0.3545512;0.496146871;0.30311885;-0.631198254;-0.43825328;0.84987281;1.0805089;1.22400587;0.5442872;0.098665275;0.209583233;0.3191438;0.378503191;1.52166114;1.27233598;0.36242819;0.487954508;-0.01597126;1.28335331;1.43789697;1.15530233;0.297419267;0.173722142;-1.4350409;0.270084128;0.033662958;-0.6538545;0.763264033;0.26097726;0.11104268;0.122416553;0.08711412;0.337822769;0.20115559;0.22420888;0.134766818;0.09890841;0.039668005;0.28278006;0.34639842;0.13723666;0.056929355;0.34537529;0.29574523;0.143534346;0.268837521;0.135149627;0.003324691;0.695939024;0.218172906;0.25369388;-0.14337499;0.282969331;-0.09360829;0.255447763;0.567977543;0.205584381;0.354027047;0.42829979;0.149029134;0.398031637;-0.05670082;0.296981093;0.24243274;0.05500127;0.39441404;0.32134358;0.057793487;0.046950786;0.591194823;0.256568785;0.144028917;-0.057451816;0.216354728;0.055745371;0.104073133;0.18758396;0.239909785;0.20491411;0.07689808;0.20706356
