row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
1491;728.5807;729.58797;1333.92;;;1491_729.58797_1333.92;0.037831;0.77736;0.38951;-286.2294421;C42H80O9;null;PubChem:(89960768)
1112;637.29423;638.30151;1158.88;;;1112_638.30151_1158.88;0.037253;1.0546;0.50787;-316.6580794;C34H39N9O2S;null;PubChem:(91527869)
949;576.32366;577.33094;1010.16;;;949_577.33094_1010.16;0.035792;0.64776;0.2325;;;;
866;182.07122;183.0785;801.65;Diisopropyl phosphate;;866_183.0785_801.65;0.034588;0.27733;0.11421;;;;
879;250.15397;251.16124;828.92;;;879_251.16124_828.92;0.03449;0.59487;0.094542;-225.8804643;C13H19BFNO2;null;PubChem:(133637188 133669164 133677399)
1987;250.11886;251.12633;823.29;;;1987_251.12633_823.29;0.03438;0.43453;0.10746;-260.4401318;C12H18BNO2S;null;PubChem:(123848179)
669;250.17421;251.18149;519.44;;;669_251.18149_519.44;0.029439;0.72611;0.064608;;;;
2212;194.16356;195.17083;1150.93;;;2212_195.17083_1150.93;0.027958;1.2186;1.1449;;;;
2055;220.10744;221.11472;943.31;;;2055_221.11472_943.31;0.022773;0.73248;0.2935;;;;
986;254.24158;255.24886;1044.88;;;986_255.24886_1044.88;0.022742;0.017093;0.22177;-129.724594;C17H31F;null;PubChem:(130446172)
663;148.05006;149.05734;516.65;;;663_149.05734_516.65;0.022294;0.26565;0.56164;;;;
2112;253.2393;254.2473;1044.75;;Palmitoleamide ?;2112_254.2473_1044.75;0.021995;0.2356;0.67916;-22.19971795;C16H31NO;Palmitoleamide;EcoCyc Mine.PubChem:(19747173 54523682 56936054).YMDB Mine.PubMed.KEGG Mine
178;1042.29292;1043.3002;7.19;;;178_1043.3002_7.19;0.021162;0.64494;0.20958;;;;
1284;680.44353;681.45081;1280.62;;;1284_681.45081_1280.62;0.018603;0.26615;0.6673;;;;
2169;255.25376;256.26104;1118.22;;;2169_256.26104_1118.22;0.018179;0.306;0.40488;;;;
2268;370.20693;371.21421;1199.77;;;2268_371.21421_1199.77;0.016139;0.079541;0.24298;-142.1486022;C22H30N2OS;null;PubChem:(66804485)
952;228.2256;229.23288;1015.33;;;952_229.23288_1015.33;0.012352;0.14149;0.85764;;;;
1100;150.13846;151.14573;1150.8;;;1100_151.14573_1150.8;0.01078;0.76246;0.1858;;;;
1097;197.17465;198.18193;1150.74;;;1097_198.18193_1150.74;0.0091027;0.051008;0.25495;;;;
1220;837.58044;838.58772;1236.82;;;1220_838.58772_1236.82;0.0087378;0.65553;0.35363;;;;
