row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
2064;509.34336;510.35064;957.99;PC O-17:0;Lyso-PC(C17:0)*;2064_510.35064_957.99;4.0803;0.084852;0.53039;-302.9879805;C27H47N3O6;2-[2,3-bis[2-(cyclohexylamino)-2-oxoethoxy]propoxy]-N-cyclohexylacetamide;PubChem:(22889506)
1838;260.13362;261.14089;274.29;;Dipeptide or derivative *****. Glutamylisoleucine ? Low intensity;1838_261.14089_274.29;4.0301;1.0111;0.73702;-93.94919465;C15H17FN2O;null;PubChem:(79776160)
1830;260.13357;261.14085;254.9;;Dipeptide or derivative *****. Glutamylisoleucine ? Low intensity;1830_261.14085_254.9;4.0262;1.0628;0.6535;-279.9835267;C9H17BFN3O4;null;PubChem:(69566697 69566700 90822433)
2024;544.33187;545.33915;897.32;;Isotopic peak mz 544;2024_545.33915_897.32;3.9825;0.44059;2.6227;;;;
2022;543.32841;544.33574;897.56;PC O-20:4;Lyso-PC(C20:4)**;2022_544.33574_897.56;3.9484;0.52;2.8231;-87.71109368;C28H50NO7P;2-arachidonoyllysophosphatidylcholine;HMDB:(61699).PubChem:(16035469 16035470 44602417 52924038 53914932 87523282 87523283).YMDB Mine.CHEBI:(76079).PubChem class - bio and metabolites.MeSH:(52924038).PubMed
2126;523.36008;524.36706;1070.53;1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine;Lyso-PC(C18:0);2126_524.36706_1070.53;3.8334;0.2327;0.060864;-9.831651657;C26H54NO7P;C16-PAF acether;COCONUT:(CNP0288397 CNP0351742).HMDB:(62195).PubChem:(2499 2500 108156 108157 5313888 10506327 10506328 10625909 10625910 13871343 10436782 10436783 71684506 71684507 100961790).CHEBI:(44811).ZINC bio:(ZINC14880284).additional.PubChem class - bio and metabolites.MeSH:(108156).Training Set.PubMed
2128;524.36363;525.37091;1070.08;;Isotopic peak mz 524;2128_525.37091_1070.08;3.8313;0.46991;0.26831;;;;
421;263.14875;264.15603;127.02;;Dipetide or derivative. Glutamylvaline ? Low intensity;421_264.15603_127.02;3.5219;2.039;1.3985;-124.4173473;C11H17N7O;null;PubChem:(106412531)
1612;131.09212;132.09948;67.62;;C6H14NO2. Frament ion from 312.5982 ?;1612_132.09948_67.62;3.4506;1.0385;0.98523;;;;
1625;189.0399;190.04718;68.03;;Hydroxyphenylglycine ?;1625_190.04718_68.03;3.4159;0.27395;0.73783;;;;
1619;167.05957;168.06684;69.51;;Hydroxyphenylglycine ?;1619_168.06684_69.51;3.3944;0.10702;0.36137;;;;
2106;495.36397;496.37124;1030.26;1-O-Hexadecyl-2-O-methyl-sn-glyceryl-3-phosphorylcholine;Lyso-PC(O-C17:0) NO6P;2106_496.37124_1030.26;3.3564;1.6358;1.794;-202.1863081;C27H49N3O5;null;PubChem:(53691538 88658297 88658299)
2015;543.32795;544.33523;883.64;PC O-20:4;Lyso-PC(C20:4)**;2015_544.33523_883.64;3.3193;2.0777;0.88766;;;;
1991;541.31269;542.31997;846.88;PC O-20:5;Lyso-PC(C20:5);1991_542.31997_846.88;3.3159;1.0352;2.5598;-90.35687186;C28H48NO7P;2-Eicosapentaenoyl-sn-glycerol-3-phosphocholine;PubChem:(71316309 71316310 131708107 131708108 133688226 133688227).YMDB Mine
1752;240.14496;241.15223;94.47;;Unidentified C12H21N2O3 ***;1752_241.15223_94.47;3.0596;1.6801;1.7873;-196.7514018;C8H16N8O;1-amino-1-[4,6-bis(dimethylamino)-1,3,5-triazin-2-yl]urea;PubChem:(1521575)
2073;509.34277;510.35004;975.58;;Lyso-PC(C17:0)*;2073_510.35004_975.58;3.0573;2.2546;1.9772;-304.0137509;C27H47N3O6;null;PubChem:(57247441)
1890;540.02626;541.03354;523.3;;Dibrominated compound cluster 7 Monosiotopic mass at 539.0407;1890_541.03354_523.3;3.04;0.86917;0.82215;-245.2786043;C17H16N8O7S3;7-(2-(2-Amino-4-thiazolyl)acetamido)-3-(((2,5-dihydro-6-hydroxy-2-methyl-5-oxo-as-triazin-3-yl)thio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid;MeSH:(9576925).PubChem:(6400616 9576925).PubMed
2030;507.32782;508.3351;903.47;PC O-17:1;Lyso-PC(C17:1);2030_508.3351_903.47;3.0389;0.66327;1.7136;-39.61761608;C25H50NO7P;lysophosphatidylcholine(17:1(10Z)/0:0);Training Set.PubChem:(42607442 42607443 139434756).CHEBI:(73854).Lipid:(LPC(17:1)).additional
1888;538.03152;539.0388;522.08;;Dibrominated compound cluster 7 Monosiotopic mass at 539.0407;1888_539.0388_522.08;3.0364;0.48064;0.46398;-269.2407836;C16H23N6O5PS4;null;PubChem:(57279049)
1730;230.0757;231.08297;90.25;(2-Fluoro[1,1'-biphenyl]-4-yl)acetic acid;Methionylalanine derivative ?;1730_231.08297_90.25;2.9157;1.8033;2.2509;;;;
2127;509.38046;510.3875;1069.92;1-O-Hexadecyl-2-O-ethyl-sn-glycero-3-phosphocholine;Lyso-PC(O-C18:0) NO6P;2127_510.3875_1069.92;2.6951;5.0305;0.38811;-6.419597737;C26H56NO6P;null;PubChem:(9546600 10029305 101704393).Lipid:(PC(O-18:0))
1117;537.3755;538.38277;1168.36;PC O-19:0;Lyso-PC(19:0);1117_538.38277_1168.36;2.6785;1.5117;1.4215;;;;
1624;197.07767;198.08495;69.22;;;1624_198.08495_69.22;2.6259;2.9175;2.4756;-197.7264216;C3H11N5O5;null;PubChem:(89239432)
1989;541.31303;542.3203;833.94;PC O-20:5;PC(20:5) C28H48NO7P ?;1989_542.3203_833.94;2.6055;2.5924;1.1239;;;;
2192;614.34013;597.33806;1141.14;;Lyso-PI(19:0) phosphoinositol ? or PS or PG ?;2192_597.33806_1141.14;2.5841;2.5576;1.0829;-251.1077562;C31H46N6O7;Dianthin H;COCONUT:(CNP0269742).PubChem:(57328763).PubMed
555;163.03151;164.03879;434.92;;fragment of 205.0778 (glutamylglicine C7H13N2O5 ???);555_164.03879_434.92;2.5455;1.155;1.4576;-165.9882999;C5H9NO3S;null;PubChem:(118584296)
1686;240.14509;241.15237;72.64;;Unidentified C12H21N2O3 ***;1686_241.15237_72.64;2.4549;1.8097;0.098583;;;;
2148;549.37587;550.38314;1095.4;1-O-Hexadecyl-2-O-(2E-butenoyl)-sn-glyceryl-3-phosphocholine;Lyso-PC(C20:1);2148_550.38314_1095.4;2.4376;1.7626;2.3326;;;;
1626;186.09762;187.10489;69.52;;;1626_187.10489_69.52;2.4271;3.0934;0.037011;;;;
2054;495.32725;496.33453;941.01;;Lyso-PC(C16:0);2054_496.33453_941.01;2.4147;1.0568;1.4698;;;;
677;540.03341;271.02398;521.86;;Dibrominated compound cluster 7 Monosiotopic mass at 539.0407;677_271.02398_521.86;2.4112;0.38016;0.14092;;;;
1008;582.31399;583.32127;1075.61;;Lyso-PI(C18:0) phosphoinositol ? or PG 21:1 O ?;1008_583.32127_1075.61;2.4102;2.3728;0.74288;;;;
2007;501.2812;502.28847;877.11;;Lyso-PE(C20:4)****;2007_502.28847_877.11;2.408;0.055378;3.0975;-548.5150107;C23H35N9O4;null;PubChem:(101105691)
1884;568.04019;569.04746;504.2;;Dibrominated compound cluster 7;1884_569.04746_504.2;2.3879;;0.71124;-358.8751267;C13H21F2N6O11P3;null;PubChem:(89318511)
392;176.12134;177.12861;71.65;4-Methyl-1-phenylpentan-3-one;;392_177.12861_71.65;2.2832;3.1517;0.26355;;;;
1657;188.11216;189.11944;70.58;;non identified;1657_189.11944_70.58;2.244;0.66034;0.5611;;;;
1642;201.09721;202.10448;70.85;;;1642_202.10448_70.85;2.1967;2.6882;1.7697;-179.4307025;C7H14F3NO2;null;PubChem:(81610446)
1839;205.03489;206.04277;275.93;Xanthurenic acid;Xanthurenic acid;1839_206.04277_275.93;2.1054;0.74954;4.17;-191.8962138;C5H7F4NO3;null;PubChem:(129809707)
622;1007.1749;1008.18217;479.96;;;622_1008.18217_479.96;2.0794;3.0032;2.1446;;;;
465;245.15967;246.16695;320.81;;Valerylcarnitine;465_246.16695_320.81;2.0655;1.7357;0.61291;-197.5410679;C8H19N7O2;null;PubChem:(91589223)
1999;501.28074;502.28802;864.01;;Lyso-PE(20:4)****;1999_502.28802_864.01;2.0505;1.3331;0.58663;-396.2879292;C18H35N11O6;2-[[5-(diaminomethylideneamino)-2-[[5-(diaminomethylideneamino)-2-[(2,4-diamino-4-oxobutanoyl)amino]pentanoyl]amino]pentanoyl]amino]acetic acid;PubChem:(22652503)
439;132.06683;133.07411;252.24;;Indoleamine ?;439_133.07411_252.24;2.0445;0.87007;0.61682;;;;
1667;219.05479;220.06207;69.43;MMV676524;very small peak , no fragmentation;1667_220.06207_69.43;2.0405;0.93263;0.29667;;;;
1757;200.07684;201.08427;103.37;;fragment of 401.1656 and 310.1491;1757_201.08427_103.37;2.0404;0.65123;1.1432;-45.87290775;C6H11F3N2O2;null;PubChem:(39869181 39869183 39869185 39869187 45792587)
620;1006.67489;1007.68216;479.87;;weird isotopic pattern (around 7 peaks) ? to discuss with ozlem;620_1007.68216_479.87;2.0234;3.2761;2.5258;;;;
1670;216.10683;217.1141;69.89;;very small peak , no fragmentation;1670_217.1141_69.89;2.0186;0.92787;0.71152;-312.6810533;C10H18NO2S;null;PubChem:(77845601)
601;1012.43455;1013.44182;463.61;;;601_1013.44182_463.61;1.9998;3.062;2.1569;;;;
503;467.97341;234.99398;365.57;;;503_234.99398_365.57;1.9969;0.39855;0.3765;;;;
554;205.0715;206.07878;434.86;2-Amino-1-[3-(trifluoromethyl)phenyl]ethanol;;554_206.07878_434.86;1.9591;0.8085;0.71558;;;;
406;173.11407;174.12135;91.21;;unidentified C7H15N3O2. Amidinonorleucine (Indospicine) or L-NIO ?;406_174.12135_91.21;1.9407;4.3934;1.484;;;;
380;142.07188;143.07916;69.46;;;380_143.07916_69.46;1.9374;2.4481;0.71046;;;;
1827;165.07816;188.06824;252.44;;;1827_188.06824_252.44;1.9249;0.2976;2.2505;-65.90582244;C9H11NO2;null;PubChem:(33728565).PubMed
1681;171.1243;172.13031;72.05;;;1681_172.13031_72.05;1.9229;2.2328;5.79E-05;;;;
638;524.01341;525.02068;488.92;;Dibrominated compound cluster 7;638_525.02068_488.92;1.9163;;0.4846;-438.613319;C18H26Br2N2O6;null;PubChem:(68428202)
482;178.05364;179.06091;352.94;;;482_179.06091_352.94;1.8939;2.029;0.6944;-49.80756718;C12H6N2;null;PubChem:(57417442)
513;172.09649;173.10377;382.22;;;513_173.10377_382.22;1.8778;1.3938;0.48387;-140.7480262;C3H7B3F3N3;null;PubChem:(10965063)
556;206.06731;207.07459;435.5;2-[[5-(Trifluoromethyl)-2-pyridinyl]amino]ethanol;;556_207.07459_435.5;1.8736;0.87649;1.4533;;;;
2031;569.34596;570.35324;908.5;PC O-22:5;Lyso-PC(C22:5);2031_570.35324_908.5;1.8567;1.2419;3.1951;;;;
553;204.06937;205.07665;434.84;;;553_205.07665_434.84;1.8334;1.1061;0.81334;-66.19302508;C13H13Cl;null;PubChem:(73949256)
1985;499.26554;500.27281;818.25;;;1985_500.27281_818.25;1.8153;1.9213;2.1937;-174.4593675;C22H37N5O8;null;PubChem:(88083527)
700;224.0596;225.06687;565.83;;;700_225.06687_565.83;1.8077;0.49149;1.8972;-161.0288771;C10H9FN2O3;null;PubChem:(83431114)
1679;195.06501;196.07246;71.6;;Cysteinyl-Glycine ??;1679_196.07246_71.6;1.7843;0.69195;3.193;-115.9494038;C8H9N3O3;N-(4-amino-2-nitrophenyl)acetamide;PubChem:(3499768)
1717;193.12787;176.12565;89.24;;Rhodosamine (check again);1717_176.12565_89.24;1.7815;4.886;0.57581;;;;
2466;592.39187;593.39914;1319.04;;PI ?;2466_593.39914_1319.04;1.7806;0.033646;0.11892;;;;
655;327.13105;328.13833;505.28;;;655_328.13833_505.28;1.7748;;0.42776;-207.3531247;C16H17N5O3;null;PubChem:(69015337)
370;153.12442;154.13169;62.52;;;370_154.13169_62.52;1.767;2.5962;0.21682;;;;
1769;159.06781;160.07509;115.28;7-Amino-2-naphthol;;1769_160.07509_115.28;1.7549;0.93775;0.027318;-43.05789879;C10H9NO;2-Methyloxine;NORMAN:(NS00007994).COCONUT:(CNP0029119).PubChem:(13224 3726363 21824659 101283512).SuperNatural:(SN00132454).ZINC bio:(ZINC12341384).additional.MeSH:(13224).PubChem class - safety and toxic.Training Set.PubMed.KEGG Mine
413;253.15335;254.16062;105.79;;;413_254.16062_105.79;1.7506;0.85487;2.1208;-201.9904068;C11H19N5O2;2-{3-[(3R,8aR)-1,4-dioxo-hexahydropyrrolo[1,2-a]piperazin-3-yl]propyl}guanidine;COCONUT:(CNP0281442).KNApSAcK:(16181).Natural Products:(UNPD31188 UNPD135925).PubChem:(449095 5288107 9856385 9856386 21778598 137347862).SuperNatural:(SN00403086 SN00254051).PubChem class - bio and metabolites
647;343.12626;344.13354;501.02;;;647_344.13354_501.02;1.7294;;0.44067;-204.9015507;C16H17N5O4;N-[3-[(4-methyl-3-nitrobenzoyl)amino]propyl]pyrazine-2-carboxamide;PubChem:(8990867)
1865;270.15815;136.08668;417.8;;;1865_136.08668_417.8;1.7205;;0.20895;;;;
900;527.29612;528.3034;887.09;;Lyso-PE(C22:5) ?? or Lyso-PC ? peak 184;900_528.3034_887.09;1.7202;0.68731;1.9525;-50.85325047;C27H46NO7P;Lysophosphatidylethanolamine(22:5n3/0:0);COCONUT:(CNP0001937).HMDB:(11525).PubChem:(53480955 134756316 138230638).Lipid:(LPE 22:5).PubChem class - bio and metabolites
912;285.30142;286.3087;924.94;;;912_286.3087_924.94;1.702;1.766;0.58472;;;;
1613;146.99439;169.98359;67.8;;;1613_169.98359_67.8;1.6898;2.3769;0.47329;;;;
2060;529.31231;530.31959;948.86;;Lyso-PE(C22:4);2060_530.31959_948.86;1.6793;0.14296;3.5265;-338.9527852;C25H39N9O4;null;PubChem:(70094778)
846;230.24058;231.24786;748.32;;;846_231.24786_748.32;1.6759;0.89704;0.95356;;;;
1722;205.12724;206.13452;89.11;;;1722_206.13452_89.11;1.657;2.9168;0.96676;;;;
2083;481.34834;482.35506;987.63;;;2083_482.35506_987.63;1.6547;1.3028;1.7208;;;;
1754;151.04744;152.05471;98.37;;;1754_152.05471_98.37;1.6516;2.0351;0.94586;;;;
402;203.12303;204.13031;89.27;;Glycyl-Lysine (Gly-Lys);402_204.13031_89.27;1.6343;3.2477;3.2128;-167.6803544;C9H15F2N3;null;PubChem:(121767297)
1731;267.09592;268.1032;89.91;Adenosine;;1731_268.1032_89.91;1.6255;1.4893;2.2347;;;;
1495;524.29864;525.30591;1340.04;;;1495_525.30591_1340.04;1.6009;2.2602;0.44335;;;;
1734;135.05239;136.05966;90.88;;;1734_136.05966_90.88;1.6009;1.9966;1.6445;;;;
1668;183.05782;184.0651;69.63;;;1668_184.0651_69.63;1.5912;1.7971;2.0153;;;;
543;148.0613;149.06858;430.4;;;543_149.06858_430.4;1.5874;1.226;1.1695;-37.13174086;C6H6N5;null;PubChem:(60205848)
631;1006.92064;1007.92792;483.86;;;631_1007.92792_483.86;1.586;2.1985;2.751;;;;
372;167.14063;168.1479;63.46;;;372_168.1479_63.46;1.5852;2.49;0.4052;;;;
1648;175.11869;176.12525;71.18;;;1648_176.12525_71.18;1.5761;2.1012;0.34814;;;;
502;469.97158;235.99307;365.54;;;502_235.99307_365.54;1.5155;1.1795;0.38425;;;;
701;178.01785;179.02513;565.88;;;701_179.02513_565.88;1.5012;0.72032;1.8585;-150.8587088;C3H3F5N2O;null;PubChem:(54337178)
558;324.04659;325.05386;437.97;;;558_325.05386_437.97;1.4701;1.0185;0.74578;-239.9312638;C14H14BCl2NO3;null;PubChem:(69421700)
448;177.04008;178.04735;275.8;;;448_178.04735_275.8;1.4635;;2.9115;-197.6540111;C4H7F4NO2;null;PubChem:(133625787)
1052;538.3767;539.38398;1121.25;1-O-Hexadecyl-2-O-(N-methylcarbamoyl)-sn-glyceryl-3-phosphorylcholine;;1052_539.38398_1121.25;1.4584;1.8529;1.2784;;;;
1645;145.108;146.11527;69.93;;C7H16NO2 Methyl-isoleucine ?;1645_146.11527_69.93;1.4518;3.5946;2.2668;;;;
674;544.02918;545.03646;521.68;;;674_545.03646_521.68;1.4508;;0.27934;-83.56165725;C13H19N6O12P3;gamma-propargylamino-ATP;PubChem:(45272815 58992341 58992342 125129276 124203057).PubMed
453;160.09885;161.10613;287.19;Tryptamine;;453_161.10613_287.19;1.4278;2.8138;0.21603;-216.3610698;C7H14NO3;null;PubChem:(58238731)
661;494.07778;495.08506;515.19;;;661_495.08506_515.19;1.4235;;0.12494;-323.596468;C16H24N4O8P2S;2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-2-(2-methylpropanoyl)-1,3-thiazol-3-ium-5-yl]ethyl phosphono hydrogen phosphate;PubChem:(6102749).PubChem class - bio and metabolites
1353;240.17038;241.17766;1296.8;;;1353_241.17766_1296.8;1.4177;0.589;0.23183;;;;
468;315.20221;316.20948;330.36;;;468_316.20948_330.36;1.4101;1.2228;1.6002;;;;
948;313.3322;314.33947;1008.34;;;948_314.33947_1008.34;1.4075;0.88482;0.26159;;;;
487;481.9902;242.00238;356.56;;;487_242.00238_356.56;1.3762;;0.5057;;;;
1653;211.09487;212.10215;71.84;;;1653_212.10215_71.84;1.37;0.37783;2.2515;;;;
1716;216.10688;199.10457;89.13;;;1716_199.10457_89.13;1.353;2.1846;1.3389;-141.6153583;C7H15F3N2O2;null;PubChem:(103151515)
885;257.26993;258.2772;838.75;N,N-Dimethyltetradecylamine-N-oxide;;885_258.2772_838.75;1.3507;0.78658;0.27421;;;;
1983;481.23974;482.24702;809.77;;Lyso-PS(C15:1);1983_482.24702_809.77;1.349;;4.969;-507.6410326;C24H31BN4O6;null;PubChem:(123138421)
1652;204.11662;205.12389;71.88;Ethyl 7-methyl-4-indanecarboxylate;;1652_205.12389_71.88;1.3446;2.8146;0.56908;;;;
2118;533.34485;534.35213;1051.55;;;2118_534.35213_1051.55;1.3217;1.0252;2.6873;-474.9430557;C25H43N9O4;Capped tripeptide aldehyde inhibitor, 28;PubChem:(24971356).PubMed
980;467.42868;468.43595;1040.24;;;980_468.43595_1040.24;1.3172;0.12316;0.97934;-446.0473133;C25H53N7O;null;MeSH:(132606962).PubChem:(132606962).PubMed
2294;522.34827;523.35554;1216.01;;;2294_523.35554_1216.01;1.2978;2.7861;0.5201;;;;
2071;521.34391;522.35108;967.83;PC O-18:1;;2071_522.35108_967.83;1.2745;0.36432;1.9947;-17.80477302;C26H52NO7P;Lysolecithin;HMDB:(2815).SuperNatural:(SN00036456 SN00036457).ZINC bio:(ZINC08218947 ZINC08218951).additional.MeSH:(440164 5313988 6449974 16081932).PubMed.Lipid:(LPC(18:1)).COCONUT:(CNP0152025).Natural Products:(UNPD65944).PubChem:(440164 3082003 6030826 5280634 5313986 5313987 5313988 6449974 10075405 10075406 16081932 24779466 57369594 57369595 71309832 71309833 88895073 117064622 117064623 118976075 131707439 131707440).CHEBI:(72589 28610).PubChem class - bio and metabolites.KEGG:(C03916).YMDB:(1190 1810).Training Set.Biocyc:(CPD-8346)
2479;311.31674;312.32401;1325.65;;;2479_312.32401_1325.65;1.2737;0.36861;0.16959;-18.09263311;C20H41NO;Icosanamide;NORMAN:(NS00056045).PubChem:(3016647).YMDB Mine.PubMed.KEGG Mine
2336;309.30157;310.30884;1256.43;;;2336_310.30884_1256.43;1.2666;0.091944;0.10832;-12.0941336;C20H39NO;cis-11-Eicosenamide;PubChem:(547891 5365373 5365374).PubMed.KEGG Mine
431;207.12285;208.13013;189.52;;;431_208.13013_189.52;1.262;0.54637;0.26728;-99.49274189;C8H13N7;null;PubChem:(89749007)
1735;153.05158;154.05885;89.32;;;1735_154.05885_89.32;1.2567;0.97235;0.35689;;;;
1725;195.06511;196.07238;88.74;;Cysteinyl-Glycine ??;1725_196.07238_88.74;1.2274;0.27879;2.9298;-102.21189;C8H9N3O3;3-Pyridinecarboxamide, N-[2-(hydroxyamino)-2-oxoethyl]-;PubChem:(22004142)
1766;153.05218;136.04902;108.81;;;1766_136.04902_108.81;1.2255;0.38601;0.99204;;;;
639;526.01655;264.01555;489.03;;;639_264.01555_489.03;1.2197;;0.65977;;;;
850;171.15969;172.16697;758.65;;;850_172.16697_758.65;1.2028;0.040821;0.20137;;;;
2171;236.21051;237.21835;1124.9;;;2171_237.21835_1124.9;1.2022;2.7105;1.0894;;;;
1633;181.05009;182.05835;69.97;;;1633_182.05835_69.97;1.1834;0.94717;0.43208;-213.9386294;C4H8FN3O4;null;PubChem:(134897155)
1475;312.31946;313.32674;1325.76;;;1475_313.32674_1325.76;1.177;0.10433;0.17489;;;;
499;511.97563;512.9829;364.99;;;499_512.9829_364.99;1.1619;;0.60484;-357.0450497;C16H17ClN2O9S3;null;PubChem:(20444842)
1051;537.37685;538.38413;1119.83;PC O-19:0;;1051_538.38413_1119.83;1.1595;2.1405;1.6409;;;;
1691;267.0961;268.10338;72.23;Adenosine;;1691_268.10338_72.23;1.1576;1.1215;2.5986;;;;
479;200.12694;201.13422;350.97;;;479_201.13422_350.97;1.1426;0.19951;0.51415;-152.4777371;C8H16N4O2;3,3''-Vinylenebis(1,1-dimethyllurea);PubChem:(305604 3056822 92260397).PubChem class - safety and toxic
1627;182.99117;183.99844;67.86;;;1627_183.99844_67.86;1.1419;0.70069;1.8607;;;;
2145;262.22742;263.23492;1092.56;;;2145_263.23492_1092.56;1.1178;0.017536;0.15446;-331.4676745;C13H30N2O3;null;PubChem:(57030116)
1634;161.10361;162.11089;69.35;;;1634_162.11089_69.35;1.0928;0.33177;0.57474;;;;
1662;172.08124;173.08852;70.26;;;1662_173.08852_70.26;1.0679;2.2801;1.7681;;;;
737;1228.58698;615.30077;616.12;;;737_615.30077_616.12;1.0644;0.15086;0.9199;;;;
2225;281.27125;282.27977;1164.14;;Oleamide ?;2225_282.27977_1164.14;1.0615;0.048048;0.091124;-21.17259419;C18H35NO;Oleamide;HMDB:(2117).PubChem class - food.SuperNatural:(SN00335079).Maconda:(CON00053).ZINC bio:(ZINC08036015 ZINC14880924).additional.HSDB:(301-02-0).MeSH:(1930 5283387 5353370).Plantcyc:(CPD6666-1).PubMed.NORMAN:(NS00006123).COCONUT:(CNP0300480).Natural Products:(UNPD56520).PubChem:(1930 5283387 5353370 117065529 117642701).YMDB Mine.CHEBI:(116314).PubChem class - bio and metabolites.EcoCyc Mine.KEGG:(C19670).PubChem class - safety and toxic.Training Set.Biocyc:(CPD6666-1 CPD-7637)
2322;292.27351;293.28128;1243.67;;;2322_293.28128_1243.67;1.0304;0.15471;0.19879;;;;
693;253.23781;254.24509;544.17;;;693_254.24509_544.17;1.0277;0.57697;1.6472;;;;
1666;203.11419;204.12147;71.58;;;1666_204.12147_71.58;1.0188;2.8165;1.2149;-127.8812633;C5H13N7O2;null;PubChem:(88114123)
2323;309.30302;310.31029;1243.8;;;2323_310.31029_1243.8;1.0182;0.094859;0.014177;-9.526573149;C20H39NO;cis-11-Eicosenamide;PubChem:(547891 5365373 5365374).PubMed.KEGG Mine
1694;165.07658;166.08386;71.91;;C9H12NO2. Phenylalanine ?;1694_166.08386_71.91;1.017;4.1814;1.3606;;;;
2226;264.24315;265.25059;1164.04;;;2226_265.25059_1164.04;0.98392;0.16883;0.091541;;;;
391;244.17488;245.18216;71.64;;Leucyl-leucine (Leu-Leu);391_245.18216_71.64;0.98182;;3.8551;-212.5219649;C8H20N8O;null;PubChem:(87659505)
1756;181.07212;182.0794;98.15;;;1756_182.0794_98.15;0.97288;1.9985;1.2289;;;;
2041;896.52518;897.53246;927.29;;;2041_897.53246_927.29;0.96854;1.0296;1.3784;;;;
1129;509.37927;510.38654;1184.25;;;1129_510.38654_1184.25;0.96668;0.84585;1.4361;;;;
2154;280.2401;263.23492;1102.37;;;2154_263.23492_1102.37;0.95726;0.3635;0.11176;;;;
1342;1370.88505;686.4498;1294.8;;;1342_686.4498_1294.8;0.95473;0.33434;1.2011;;;;
2406;370.30355;393.29215;1297.24;;;2406_393.29215_1297.24;0.94248;0.14103;0.16484;-170.2644595;C18H38N6O2;1,1''-piperazine-1,4-diylbis(2-{[3-(dimethylamino)propyl]amino}ethanone);PubChem:(265943)
2156;279.25451;280.26179;1102.9;;;2156_280.26179_1102.9;0.92866;0.018621;0.547;-78.29869025;C18H33NO;linoleamide;HMDB:(62656).PubChem class - food.MeSH:(6435901).PubMed.NORMAN:(NS00049417).COCONUT:(CNP0161573).Natural Products:(UNPD14642).PubChem:(3930 5353723 6435901 88175293).YMDB Mine.CHEBI:(93121 82984).PubChem class - bio and metabolites.KEGG Mine
642;362.08768;363.09496;495.49;;;642_363.09496_495.49;0.92309;;2.2709;-104.7812363;C14H18O11;null;PubChem:(53791650)
1658;205.12717;206.13445;71.96;;Glycyl-Lysine (Gly-Lys) derivative ?;1658_206.13445_71.96;0.91552;2.9979;1.4517;;;;
847;229.2381;230.24538;748.61;;;847_230.24538_748.61;0.90594;1.067;0.24969;;;;
1214;283.2873;284.29457;1233.12;;;1214_284.29457_1233.12;0.88491;0.099462;0.017382;-7.530234859;C18H37NO;Adogen 42;HMDB:(34146).PubChem class - food.SuperNatural:(SN00224519).Maconda:(CON00105).additional.HSDB:(124-26-5).MeSH:(31292).PubMed.NORMAN:(NS00003249).COCONUT:(CNP0310603).KNApSAcK:(37572).Natural Products:(UNPD68544).PubChem:(31292 57432293).YMDB Mine.CHEBI:(34900).PubChem class - bio and metabolites.EcoCyc Mine.KEGG:(C13846).PubChem class - safety and toxic.Training Set
367;243.99017;244.99745;60.94;;;367_244.99745_60.94;0.88178;0.11099;0.85779;;;;
1605;242.98948;243.99676;61.05;;;1605_243.99676_61.05;0.87815;0.085494;0.50457;-308.6340467;C7H11Cl2NO2S;null;PubChem:(10634018)
2025;297.26443;280.26107;901.53;;;2025_280.26107_901.53;0.86865;0.40499;0.455;-53.27890339;C18H35NO2;ACMC-20lypg;COCONUT:(CNP0346818).HMDB:(13648).PubChem:(9835868 19606638 54428293).CHEBI:(71465).ZINC bio:(ZINC59725637).additional.PubChem class - bio and metabolites.MeSH:(9835868).Training Set.PubMed
418;176.09253;177.09981;123.6;L-Canavanine;;418_177.09981_123.6;0.86857;2.8533;1.0491;-262.366807;C7H14NO4;2-(3-ethoxypropylamino)oxyacetic acid;PubChem:(60058063)
369;241.9922;242.99948;61.46;;;369_242.99948_61.46;0.84109;0.1863;0.91274;-240.9751298;C4H4F2N4O4S;null;PubChem:(115371537)
415;188.09264;189.09992;109.32;;;415_189.09992_109.32;0.83898;1.3571;0.76541;-170.8247984;C6H12F4N2;null;PubChem:(115964704)
2019;567.32839;568.33567;894.53;LPC 22:6-SN2;;2019_568.33567_894.53;0.83452;0.33571;2.5095;;;;
1160;1294.86606;648.44031;1204.51;;;1160_648.44031_1204.51;0.83123;1.7039;0.099337;;;;
1382;1284.83932;643.42694;1301.21;;;1382_643.42694_1301.21;0.82255;0.1753;0.64712;;;;
454;143.07214;144.07941;287.22;2-Aminonaphthalene;Tryptophanol related ???? check formula;454_144.07941_287.22;0.82209;3.211;2.2933;-115.0684281;C7H11O3;null;PubChem:(102594609)
1965;199.22665;200.23393;723.7;;;1965_200.23393_723.7;0.82177;1.4554;0.52182;;;;
633;217.2015;218.20877;485.54;;;633_218.20877_485.54;0.82147;1.0331;0.57009;;;;
2027;262.22694;263.23422;901.65;;;2027_263.23422_901.65;0.8155;0.87602;0.33136;;;;
