;;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
455_Conorete_pourtalesi;455_Conorete_pourtalesi;Cp.5;CAO_455;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-5.6981;3.3615;2.2193;-5.6103;-4.4378;0.32202;-7.1221;-4.1307
580_Dictyoplax_lecus;580_Dictyoplax_lecus;Dl.5;CAO_580;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-0.80428;-7.0638;-2.4533;3.7982;-5.0826;-3.3713;-3.558;-1.7615
581_Verrucocoeloidea_liberatorii;581_Verrucocoeloidea_liberatorii;Vl.7;CAO_581;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;6.0895;8.82;0.018695;2.4413;-9.8915;-0.52524;-5.5167;-2.2284
582_Verrucocoeloidea_liberatorii;582_Verrucocoeloidea_liberatorii;Vl.8;CAO_582;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.7765;9.5275;0.70204;8.474;-4.4109;2.9128;1.2513;5.2581
583_Verrucocoeloidea_liberatorii;583_Verrucocoeloidea_liberatorii;Vl.9;CAO_583;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.2573;11.261;1.9118;4.1795;-6.4762;1.5648;-1.9034;6.3482
584_Dactylocalyx_pumiceus;584_Dactylocalyx_pumiceus;Dp.5;CAO_584;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;10.189;4.1867;-9.9996;-6.3082;9.453;-4.8703;7.5968;2.6918
585_Dactylocalyx_pumiceus;585_Dactylocalyx_pumiceus;Dp.6;CAO_585;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;12.324;-3.5034;-2.7978;-1.6023;2.3509;-0.06264;1.8413;-2.7546
586_Dactylocalyx_pumiceus;586_Dactylocalyx_pumiceus;Dp.7;CAO_586;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;8.5349;3.2814;0.53205;-3.5024;7.5891;1.1449;-1.2499;-2.9627
587_Dactylocalyx_pumiceus;587_Dactylocalyx_pumiceus;Dp.8;CAO_587;132;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;11.669;-0.74498;-2.2113;-7.3847;-4.2658;0.46399;3.7396;-2.5479
588_Dactylocalyx_pumiceus;588_Dactylocalyx_pumiceus;Dp.9;CAO_588;144;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;6.128;4.6283;11.346;-3.9142;6.1044;0.60498;-5.1792;5.888
590_Conorete_pourtalesi;590_Conorete_pourtalesi;Cp.6;CAO_590;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-5.347;1.5333;0.48668;2.1148;-0.084773;-7.1301;6.592;-9.6077
591_Conorete_pourtalesi;591_Conorete_pourtalesi;Cp.7;CAO_591;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-6.7954;6.243;1.2744;-8.3834;1.483;-5.2628;4.2132;-2.298
592_Conorete_pourtalesi;592_Conorete_pourtalesi;Cp.8;CAO_592;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;-8.4535;5.1488;6.7215;0.52363;7.9815;3.5165;8.1825;-2.3905
593_Verrucocoeloidea_liberatorii;593_Verrucocoeloidea_liberatorii;Vl.10;CAO_593;194;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.8522;7.0859;11.811;1.2514;-5.8216;-1.1373;-3.1893;-7.8304
594_Dictyoplax_lecus;594_Dictyoplax_lecus;Dl.6;CAO_594;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;-3.1622;-2.4524;-0.73761;0.0030521;-2.1362;3.125;4.5528;-3.496
