;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
432_Penares;Pm.1;CAO_432;262;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Penares;Penares mastoideus;-8.7933;-2.5369;-5.1717;1.4003;1.1751;3.4027;0.73489;-3.3731
433_Gastrophanella;Gi.1;CAO_433;151;2.Upper rariphotic;Demospongiae;Tetractinellida;Siphoniididae;Gastrophanella;Gastrophanella implexa;-8.8375;-3.3064;-4.5989;3.0404;2.6989;1.2538;-6.1311;1.648
434_Aciculites_higginsii;Ah.1;CAO_434;129;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-11.053;-2.4475;2.5699;5.5965;-2.1277;2.7004;3.4013;-7.6696
435_Aciculites_higginsii;Ah.2;CAO_435;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-13.132;1.9545;9.5204;-5.0741;-1.6768;-2.4032;14.174;-5.1575
436_Aciculites_higginsii;Ah.3;CAO_436;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-12.242;-0.89824;9.8128;-0.33225;-11.251;-6.65;4.5561;-4.1596
437_Geodia_curacaocensis;Gc.1;CAO_437;105;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia aff. curacaocensis;-8.3138;-2.8054;-6.3323;2.7391;-3.6445;-4.8925;3.738;5.7294
438_GeodiaCaminus;Gs1.1;CAO_438;121;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 1;-7.0117;-4.8452;-7.5317;-1.2149;1.6046;-6.6805;2.8387;2.7136
439_Geodia_curacaocensis;Gs2.1;CAO_439;267;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 2;-8.5816;1.8839;-8.0261;-4.4765;-3.288;-12.326;-0.69395;-4.0765
441_Geodia_curacaocensis;Gm.1;CAO_441;266;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia cf. megastrella;-10.751;-2.0654;-1.6609;9.0954;3.5428;0.11736;3.9842;0.77638
442_Dactylocalyx_pumiceus;Dp.1;CAO_442;268;3.Lower rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;6.8804;5.6851;-6.6516;0.35755;-5.9868;3.7766;2.2987;-3.3726
443_Dactylocalyx_pumiceus_;Dp.2;CAO_443;262;3.Lower rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;6.889;4.6382;-3.8979;-2.1855;-2.6828;-7.8225;2.8799;0.0018498
444_Dactylocalyx_pumiceus;Dp.3;CAO_444;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;4.4598;6.4708;-1.1264;6.3016;-3.3552;3.2867;3.1365;2.4749
445_Dactylocalyx_pumiceus;Dp.4;CAO_445;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;6.1941;6.1313;-3.8393;-1.8489;-7.077;7.3697;8.2936;5.5149
447_Verrucocoeloidea_liberatorii;Vl.2;CAO_447;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Verrucocoeloidea liberatorii;8.8572;-2.6174;-0.62995;-1.5967;-9.5723;-2.9385;-5.5111;-1.7778
448_Verrucocoeloidea_liberatorii;Vl.3;CAO_448;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;10.664;-12.371;1.4895;5.4444;-2.3813;-1.433;-0.96014;1.4531
449_Verrucocoeloidea_liberatorii;Vl.4;CAO_449;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;10.139;-4.4217;-5.6726;-0.7709;1.1346;-4.0725;4.4801;2.7291
450_Verrucocoeloidea_liberatorii;Vl.5;CAO_450;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;4.5991;2.8325;6.6912;-1.6296;3.6996;-8.2131;2.7355;11.405
451_Cyrtaulon_sigsbeei_or_Verrucocoeloidea_liberatorii;Vl.6;CAO_451;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;11.198;-11.912;4.2958;-4.7612;-9.5212;-0.54642;0.33034;3.187
452_Conorete_pourtalesi;Cp.3;CAO_452;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;11.439;-12.075;0.217;-0.83463;-0.53301;1.5734;-0.32213;1.4177
454_Conorete_pourtalesi;Cp.4;CAO_454;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;10.89;-16.987;8.1599;0.1547;8.165;-4.158;1.5811;-2.3305
455_Conorete_pourtalesi;Cp.5;CAO_455;262;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.5364;0.55633;0.27989;-0.020532;9.9431;-0.78014;-2.8038;-1.4716
580_Dictyoplax_lecus;Dl.5;CAO_580;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;6.2746;1.9149;-0.43712;3.5974;-2.8025;0.9463;-3.8865;2.2024
581_Verrucocoeloidea_liberatorii;Vl.7;CAO_581;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;8.4076;-6.0098;1.0925;3.7195;1.0581;6.6835;4.0999;5.1619
582_Verrucocoeloidea_liberatorii;Vl.8;CAO_582;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;9.8589;-7.7385;0.77956;0.26539;-4.8067;-0.59034;-3.6161;3.9594
583_Verrucocoeloidea_liberatorii;Vl.9;CAO_583;176;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;7.4895;-5.6444;4.5954;3.1209;2.8929;2.9882;0.284;5.3511
584_Dactylocalyx_pumiceus;Dp.5;CAO_584;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;10.209;-6.5231;-6.1908;5.2553;3.6787;-2.4219;7.7885;-2.9316
585_Dactylocalyx_pumiceus;Dp.6;CAO_585;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;6.9321;3.533;-4.522;3.4931;-7.2053;-3.2318;-1.4462;-2.444
586_Dactylocalyx_pumiceus;Dp.7;CAO_586;145;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;7.4058;1.9269;-4.6748;2.3359;0.48633;-6.2332;-0.82353;-2.0041
587_Dactylocalyx_pumiceus;Dp.8;CAO_587;132;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;5.8659;3.4222;-1.0427;4.198;-4.3465;0.94379;-0.62778;-0.34415
588_Dactylocalyx_pumiceus;Dp.9;CAO_588;144;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;3.798;10.063;-1.0321;-1.0328;3.1048;-1.9644;6.4909;1.7068
590_Conorete_pourtalesi;Cp.6;CAO_590;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.2609;-0.57317;3.2492;1.8683;4.5156;-0.052248;-9.7909;-12.203
591_Conorete_pourtalesi;Cp.7;CAO_591;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;6.6467;0.78822;2.5255;-5.8361;7.6769;-4.287;0.50927;-0.90895
592_Conorete_pourtalesi;Cp.8;CAO_592;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Conorete pourtalesi;5.6725;2.5051;1.8465;-3.6662;12.041;3.6073;3.1841;-2.0906
593_Verrucocoeloidea_liberatorii;Vl.10;CAO_593;194;2.Upper rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;7.0111;5.2916;-1.5831;-9.5285;-8.5489;2.3173;-0.17199;-0.83354
594_Dictyoplax_lecus;Dl.6;CAO_594;238;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Auloplacidae;Dictyoplax;Dictyoplax lecus;6.4147;1.1866;1.0309;-0.64448;2.0016;5.5671;-2.2125;-4.7595
