;Code;ID_Samples;Depth_m;Photic_zone;Class_host;Order_host;Family_host;Genus_host;Species_host;Comp 1;Comp 2;Comp 3;Comp 4;Comp 5;Comp 6;Comp 7;Comp 8
432_Penares;Pm.1;CAO_432;262;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Penares;Penares mastoideus;-1.9974;9.007;3.1065;1.118;3.2104;-0.23798;-4.7969;-4.4483
433_Gastrophanella;Gi.1;CAO_433;151;2.Upper rariphotic;Demospongiae;Tetractinellida;Siphoniididae;Gastrophanella;Gastrophanella implexa;-6.912;1.4604;1.8401;2.9379;4.3731;0.53745;-9.7909;0.92652
434_Aciculites_higginsii;Ah.1;CAO_434;129;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-6.2454;3.851;-1.877;-3.7925;10.834;0.71878;-4.0772;3.5991
435_Aciculites_higginsii;Ah.2;CAO_435;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-7.4317;6.1211;-1.4625;-5.2967;8.459;-9.1722;1.0791;-2.953
436_Aciculites_higginsii;Ah.3;CAO_436;127;2.Upper rariphotic;Demospongiae;Tetractinellida;Scleritodermidae;Aciculites;Aciculites higginsii;-6.2747;5.63;-0.72293;-8.9068;5.7005;-7.1022;-0.58118;5.135
437_Geodia_curacaocensis;Gc.1;CAO_437;105;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia aff. curacaocensis;-6.9397;-1.7156;-8.987;-6.5939;-3.81;-7.2604;-3.343;3.5711
438_GeodiaCaminus;Gs1.1;CAO_438;121;1.Mesophotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 1;-6.9772;-4.3684;-8.3559;-3.8486;3.074;-0.7654;7.9223;3.0652
439_Geodia_curacaocensis;Gs2.1;CAO_439;267;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia sp. 2;-1.6128;10.196;-1.2248;3.9191;1.3108;-5.0324;3.2058;2.8367
441_Geodia_curacaocensis;Gm.1;CAO_441;266;3.Lower rariphotic;Demospongiae;Tetractinellida;Geodiidae;Geodia;Geodia cf. megastrella;-3.1706;9.6595;2.8156;1.2142;5.7519;2.1923;3.927;5.5764
442_Dactylocalyx_pumiceus;Dp.1;CAO_442;268;3.Lower rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;5.2202;0.69237;-2.5298;10.038;1.4775;4.8193;0.61055;3.6816
443_Dactylocalyx_pumiceus_;Dp.2;CAO_443;262;3.Lower rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;4.5849;-0.65126;-0.043211;12.955;2.1827;-2.7706;4.9522;-0.48047
444_Dactylocalyx_pumiceus;Dp.3;CAO_444;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;0.7604;-3.3041;-5.8358;5.1301;-1.1026;0.91401;-4.4265;-1.1313
445_Dactylocalyx_pumiceus;Dp.4;CAO_445;174;2.Upper rariphotic;Hexactinellida;Hexasterophora;Dactylocalycidae;Dactylocalyx;Dactylocalyx pumiceus;3.2865;-2.6069;-8.9542;-1.0373;-4.0822;2.3959;-1.1277;4.7684
447_Verrucocoeloidea_liberatorii;Vl.2;CAO_447;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Conorete;Verrucocoeloidea liberatorii;8.0927;-1.1681;0.95048;-2.3954;2.1261;6.276;1.0934;10.5
448_Verrucocoeloidea_liberatorii;Vl.3;CAO_448;268;3.Lower rariphotic;Hexactinellida;Sceptrulophora;Euretidae;Verrucocoeloidea;Verrucocoeloidea liberatorii;8.4656;-5.8132;8.7528;-1.3584;1.9799;1.3226;0.44606;3.4172
